sku,qty,ref,val,vendor
A-4008,2,C1 C2 ,0.1u,tayda
A-321,1,C3 ,1u,tayda
A-1095,2,D1 D2 ,bat46,tayda
A-157,3,D3 D4 D5 ,1n4148,tayda
A-2563,1,J1 ,mono_jack_3.5mm,tayda
A-5505,1,J2 ,jst_xa_3,tayda
A-2200,6,R1 R2 R3 R4 R5 R15 ,1k,tayda
A-2339,2,R11 R12 ,20k,tayda
A-2606,1,R13 ,2.4k,tayda
A-2245,2,R6 R7 ,100,tayda
A-2203,4,R8 R9 R10 R14 ,10k,tayda
A-1870,1,RV2 ,5k_pot,tayda
A-5530,1,RV3 ,100k_pot,tayda
A-4568,1,SW1 ,SW_DPDT_x2,tayda
A-500,1,U2 ,LM317,tayda
A-003,1,-,dip16_socket,tayda
A-001,1,-,dip8_socket,tayda
